pair_id,timestamp,author_role,channel,text
p004,2023-04-01T10:53:00Z,mentee,inbox,The team loved the new approach you suggested!
p006,2023-04-02T06:34:00Z,mentor,email,Let's schedule a call to discuss your career goals.
p001,2023-04-02T12:17:00Z,mentee,inbox,Could we discuss career transition strategies?
p009,2023-04-02T17:45:00Z,mentor,inbox,I had a similar experience early in my career.
p004,2023-04-02T19:26:00Z,mentee,email,Finding it hard to maintain work-life balance.
p006,2023-04-03T03:24:00Z,mentee,email,Could we discuss career transition strategies?
p007,2023-04-03T07:07:00Z,mentor,inbox,Great to hear about your progress on the project!
p009,2023-04-03T10:25:00Z,mentee,inbox,I'm struggling with prioritisation at work.
p001,2023-04-03T14:00:00Z,mentee,inbox,I'm struggling with prioritisation at work.
p002,2023-04-04T09:21:00Z,mentee,inbox,Made good progress on the presentation this week.
p008,2023-04-04T10:00:00Z,mentee,inbox,Could we discuss career transition strategies?
p007,2023-04-04T10:33:00Z,mentor,email,I had a similar experience early in my career.
p010,2023-04-04T12:16:00Z,mentee,inbox,Applied for the role we discussed last time.
p010,2023-04-04T15:13:00Z,mentor,inbox,I've attached some resources that might help.
p009,2023-04-05T13:42:00Z,mentor,email,Have you considered approaching it from this angle?
p005,2023-04-06T02:16:00Z,mentee,email,Would love your thoughts on this situation.
p004,2023-04-06T04:47:00Z,mentee,inbox,Could we discuss career transition strategies?
p009,2023-04-06T11:11:00Z,mentee,inbox,The team loved the new approach you suggested!
p010,2023-04-06T14:23:00Z,mentor,inbox,"Your approach sounds solid, keep going!"
p005,2023-04-06T19:49:00Z,mentor,inbox,"Your approach sounds solid, keep going!"
p008,2023-04-07T00:05:00Z,mentee,email,Made good progress on the presentation this week.
p001,2023-04-07T16:20:00Z,mentee,inbox,I'm struggling with prioritisation at work.
p003,2023-04-07T16:30:00Z,mentee,inbox,The team loved the new approach you suggested!
p002,2023-04-08T07:50:00Z,mentor,email,Have you considered approaching it from this angle?
p008,2023-04-08T08:01:00Z,mentee,inbox,Could we discuss career transition strategies?
p003,2023-04-08T18:33:00Z,mentor,email,Have you considered approaching it from this angle?
p002,2023-04-10T13:55:00Z,mentee,email,Applied for the role we discussed last time.
p006,2023-04-10T19:57:00Z,mentee,email,I've been thinking about your last suggestion.
p002,2023-04-11T00:23:00Z,mentor,inbox,I've attached some resources that might help.
p004,2023-04-11T03:26:00Z,mentee,inbox,"Thanks for the feedback, really helpful!"
p008,2023-04-11T11:44:00Z,mentor,inbox,I had a similar experience early in my career.
p008,2023-04-11T14:47:00Z,mentee,inbox,"Thanks for the feedback, really helpful!"
p003,2023-04-11T18:44:00Z,mentee,inbox,I'm struggling with prioritisation at work.
p010,2023-04-12T04:26:00Z,mentor,email,Let's schedule a call to discuss your career goals.
p004,2023-04-12T13:46:00Z,mentor,inbox,I've attached some resources that might help.
p006,2023-04-12T19:33:00Z,mentor,email,"Your approach sounds solid, keep going!"
p010,2023-04-13T00:07:00Z,mentee,inbox,Completed the course you recommended!
p003,2023-04-13T02:28:00Z,mentee,email,Could we discuss career transition strategies?
p003,2023-04-13T12:34:00Z,mentee,inbox,The team loved the new approach you suggested!
p001,2023-04-13T21:54:00Z,mentee,inbox,Would love your thoughts on this situation.
p006,2023-04-13T23:16:00Z,mentee,email,Made good progress on the presentation this week.
p004,2023-04-14T00:10:00Z,mentor,email,"Your approach sounds solid, keep going!"
p005,2023-04-14T02:19:00Z,mentor,inbox,How are you finding the new role?
p010,2023-04-14T02:54:00Z,mentor,inbox,"Your approach sounds solid, keep going!"
