pair_id,timestamp,mentee_score,mentor_score,notes
p010,2025-08-07T13:00:00Z,4,3,Good progress this week
p010,2025-07-31T13:00:00Z,5,5,Need to refocus priorities
p010,2025-07-24T13:00:00Z,3,4,Working through challenges
p010,2025-07-17T15:00:00Z,3,3,Good progress this week
p010,2025-07-10T15:00:00Z,3,4,Good progress this week
p010,2025-07-03T14:00:00Z,3,4,Good progress this week
p009,2025-08-12T09:00:00Z,3,5,Need to refocus priorities
p009,2025-08-05T08:00:00Z,3,5,Excellent insights shared
p009,2025-07-29T14:00:00Z,3,4,Working through challenges
p009,2025-07-22T15:00:00Z,4,5,Working through challenges
p009,2025-07-15T09:00:00Z,5,4,Need to refocus priorities
p009,2025-07-08T12:00:00Z,4,4,Working through challenges
p009,2025-07-01T13:00:00Z,4,4,Excellent insights shared
p008,2025-08-07T14:00:00Z,3,3,Working through challenges
p008,2025-07-31T11:00:00Z,4,4,Good progress this week
p008,2025-07-24T11:00:00Z,4,5,Good progress this week
p008,2025-07-17T08:00:00Z,4,5,Need to refocus priorities
p007,2025-07-31T12:00:00Z,5,4,Working through challenges
p007,2025-07-24T09:00:00Z,5,5,Working through challenges
p007,2025-07-17T08:00:00Z,5,3,Great momentum
p007,2025-07-10T10:00:00Z,3,3,Excellent insights shared
p006,2025-08-17T14:00:00Z,3,4,Good progress this week
p006,2025-08-10T07:00:00Z,5,5,Good progress this week
p006,2025-08-03T07:00:00Z,5,5,Excellent insights shared
p006,2025-07-27T15:00:00Z,5,5,Need to refocus priorities
p006,2025-07-20T15:00:00Z,3,4,Great momentum
p006,2025-07-13T13:00:00Z,4,3,Excellent insights shared
p005,2025-07-30T08:00:00Z,4,5,Excellent insights shared
p005,2025-07-23T14:00:00Z,5,5,Good progress this week
p005,2025-07-16T13:00:00Z,3,4,Excellent insights shared
p005,2025-07-09T14:00:00Z,3,3,Great momentum
p004,2025-08-08T11:00:00Z,4,4,Working through challenges
p004,2025-08-01T15:00:00Z,3,3,Discussed career goals
p004,2025-07-25T07:00:00Z,4,5,Good progress this week
p004,2025-07-18T15:00:00Z,3,4,Excellent insights shared
p004,2025-07-11T12:00:00Z,5,5,Discussed career goals
p003,2025-08-06T10:00:00Z,3,3,Discussed career goals
p003,2025-07-30T13:00:00Z,5,5,Excellent insights shared
p003,2025-07-23T10:00:00Z,3,3,Working through challenges
p003,2025-07-16T15:00:00Z,5,3,Discussed career goals
p002,2025-07-23T09:00:00Z,4,4,Need to refocus priorities
p002,2025-07-16T11:00:00Z,3,5,Excellent insights shared
p002,2025-07-09T13:00:00Z,4,4,Good progress this week
p002,2025-07-02T07:00:00Z,3,4,Working through challenges
p002,2025-06-25T09:00:00Z,4,3,Discussed career goals
p001,2025-08-16T12:00:00Z,3,4,Excellent insights shared
p001,2025-08-09T14:00:00Z,3,4,Need to refocus priorities
p001,2025-08-02T14:00:00Z,4,4,Working through challenges
p001,2025-07-26T15:00:00Z,3,4,Great momentum
